run_id,config_hash,scientific_input_hash,source_tree_hash,metric_schema_hash,table_id,dataset_identity,model_identity,evaluation_scope,denominator,uncertainty_method,source_artifact,source_sha256,source_record_type,source_row_number,git_commit,scope_contract_hash,task_key,canonical_dataset_key,dataset_sha256,canonical_content_sha256,schema_mapping_sha256,feature_policy_contract_sha256,fold_contract_hash,task_model_set_sha256,task_type,role,publication_stratum,labels,positive_label,primary_policy,n_outer_folds,n_inner_folds,bootstrap_resamples,direct_external_validation_of_primary,comparable_to_primary_three_class_task,locked_model_transport,claim_boundary,metric,applicable,inapplicable_representation,applicability_note,dataset_key,canonical_content_hash_algorithm,policy,point_estimate,ci_low,ci_high,bootstrap_std,n_samples,n_resamples,n_valid,confidence_level,method,strata,seed,resample_hash,better_direction,domain_low,domain_high,policy_model_set_sha256
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,"{""canonical_content_sha256"":""e4b403c2c31e2629a72bd9cb85337da4eb06ea7dca2da9acfea245cd8db9371f"",""canonical_dataset_key"":""ibm_hr_analytics"",""dataset_sha256"":""a5c31e38bd7fafc9bc333884eb181b06b41b8e5e488e8f7ccb27199fb3be7659""}",independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,1470,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/task_strata_index.csv,e774290c5e62cd32cbf0306a175105f50eca6dd20ade3e48c539cd8416c80b4f,task_strata_index,1,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,ibm_hr_analytics,a5c31e38bd7fafc9bc333884eb181b06b41b8e5e488e8f7ccb27199fb3be7659,e4b403c2c31e2629a72bd9cb85337da4eb06ea7dca2da9acfea245cd8db9371f,c74f0f7b119d1023eba0a3519b2c66223ff9407e6eb15f064ff15bb13f0024a9,795289fbe2a2b0bbe3291fefa0441f81b8ffb1b994e3b5b8c478cff949ded5fc,e12130b5d1f8a4d0c4f480f525fc9b3b8a1826323bf3641fdbd80f3db2a12659,e9c71caf37a3058e2c17dcc99e566f0d472e69da56e3bcf9dd2d8ddeca869791,restricted_target_performance_robustness,restricted-target performance robustness,ibm_restricted_target_performance_robustness,3;4,4.0,department_job_role_free,10.0,5.0,5000.0,False,False,False,Supplementary restricted 3/4-target robustness only; not direct three-class employee-performance external validation and not transport.,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,"{""canonical_content_sha256"":""e4b403c2c31e2629a72bd9cb85337da4eb06ea7dca2da9acfea245cd8db9371f"",""canonical_dataset_key"":""ibm_hr_analytics_attrition"",""dataset_sha256"":""a5c31e38bd7fafc9bc333884eb181b06b41b8e5e488e8f7ccb27199fb3be7659""}",independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,1470,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/task_strata_index.csv,e774290c5e62cd32cbf0306a175105f50eca6dd20ade3e48c539cd8416c80b4f,task_strata_index,2,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_attrition,ibm_hr_analytics_attrition,a5c31e38bd7fafc9bc333884eb181b06b41b8e5e488e8f7ccb27199fb3be7659,e4b403c2c31e2629a72bd9cb85337da4eb06ea7dca2da9acfea245cd8db9371f,c74f0f7b119d1023eba0a3519b2c66223ff9407e6eb15f064ff15bb13f0024a9,1386f8d2a737022e524416c77047270d206c4d71dbde8efffcb1affb2d3ecdc0,0c7b7295b6f9c1f967f498ab0a1efe52d1cc5d155ec08b653fa2cc8141a94b1b,48f519012e5106a2ba1b33c5ad743531296d2ca74ae632a0eb9a1c68e54fe82a,binary_attrition_transfer,related HR attrition task transfer,ibm_attrition_related_task_transfer,0;1,1.0,department_job_role_free,10.0,5.0,5000.0,False,False,False,Supplementary related attrition-task transfer only; not employee-performance validation and not transport.,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,"{""canonical_content_sha256"":""38a28cddcb8cddc1b419ca630eed8a26d7f3285cca4bb08ade0438fd68a34ecd"",""canonical_dataset_key"":""employee_turnover"",""dataset_sha256"":""2510e274a90547f34c7b0db5a4ab70282c2710eb54252f14921bf980b81a928c""}",independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,14999,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/task_strata_index.csv,e774290c5e62cd32cbf0306a175105f50eca6dd20ade3e48c539cd8416c80b4f,task_strata_index,3,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,employee_turnover,employee_turnover,2510e274a90547f34c7b0db5a4ab70282c2710eb54252f14921bf980b81a928c,38a28cddcb8cddc1b419ca630eed8a26d7f3285cca4bb08ade0438fd68a34ecd,ef49bf69d6ea9461adb10268da09f14f9cc24d457c0183ddd703c26140842d82,feb7c82b3f0a8bd88b8c97ea35fe13e92fa33ae2ef2b3490e8bb206b3e446907,3aa482a085cf0d3dc5752c5b378e1941526ad4b192598a715e429bdc0e2bca9d,a031edfb370ba2cbf4ca36f2e4cdf909858ef21950ba7bc55a55bcd5e8def634,binary_turnover_transfer,related HR turnover task transfer,employee_turnover_related_task_transfer,0;1,1.0,without_last_evaluation,10.0,5.0,5000.0,False,False,False,Supplementary related turnover-task transfer only; not employee-performance validation and not transport.,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,1,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,accuracy,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,2,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,balanced_accuracy,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,3,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,macro_f1,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,4,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,weighted_f1,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,5,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,macro_precision,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,6,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,weighted_precision,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,7,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,macro_recall,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,8,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,weighted_recall,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,9,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,quadratic_weighted_kappa,False,N/A,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,10,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,ordinal_mae,False,N/A,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,11,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,adjacent_accuracy,False,N/A,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,12,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,severe_error_rate,False,N/A,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,13,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,nll_log_loss,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,14,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,multiclass_brier,False,N/A,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,15,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,binary_brier,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,restricted_and_binary_task_evidence,source_declared_supplementary_dataset,independently_trained_task_specific_xgboost_models,task_bounded_independent_nested_robustness_and_transfer,not_applicable_or_resolved_by_source_contract,paired_stratified_percentile_bootstrap_5000_draws_within_task,external_robustness/metric_applicability.csv,2f14c4021e13ddd38c275d8457415156ff8e01960c3549a74bc51fe8e82ada14,metric_applicability,16,483f96fdbaab16cb0f32d03d9dbe676a759af44a,18bbb5cb3dae267eac18f3cc60082e5023843b01bd565f8912555fc9c83aa329,ibm_performance,,,,,,,,restricted_target_performance_robustness,,ibm_restricted_target_performance_robustness,,4.0,,,,,,False,,,roc_auc,True,,"The observed 3/4-only target is evaluated as a restricted binary robustness task with class 4 as the predeclared positive class. Binary probability and ranking metrics apply, but ordinal distance, adjacency, severe-error, and multiclass Brier metrics are N/A because this task is not comparable with the primary 2/3/4 task.",,,,,,,,,,,,,,,,,,,
