run_id,config_hash,policy,attribute,group_value,interpretation_category,n_samples,minimum_group_support_threshold,group_support_eligible,metric,class_label,metric_value,metric_denominator,minimum_metric_denominator_threshold,metric_denominator_eligible,eligible_for_gap
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,false_positive_rate,3.0,0.375,40,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,precision,3.0,0.8636363636363636,110,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,mean_predicted_probability,3.0,0.7327077455111664,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,positive_prediction_rate,4.0,0.0,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,true_positive_rate,4.0,0.0,14,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,false_positive_rate,4.0,0.0,123,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,precision,4.0,,0,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,50-59,protected_or_sensitive_descriptive_audit,137,30,True,mean_predicted_probability,4.0,0.07140024364067676,137,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,accuracy,,0.3333333333333333,3,30,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,macro_f1,,0.16666666666666666,3,30,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,positive_prediction_rate,2.0,0.3333333333333333,3,30,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,true_positive_rate,2.0,,0,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,false_positive_rate,2.0,0.3333333333333333,3,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,precision,2.0,0.0,1,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,mean_predicted_probability,2.0,0.3937095248353823,3,30,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,positive_prediction_rate,3.0,0.6666666666666666,3,30,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,60+,protected_or_sensitive_descriptive_audit,3,30,False,true_positive_rate,3.0,0.5,2,10,False,False
